Date,Location,Admin_Dose_1_Cumulative,PopElig,new_case,new_death,population,popf16
12/20/2020,SC,14904,42865,22771,198,4814762,4120792
12/27/2020,SC,32857,106730,25366,220,4814762,4120792
1/3/2021,SC,61146,155948,29666,320,4814762,4120792
1/10/2021,SC,108691,240608,40149,343,4814762,4120792
1/17/2021,SC,184664,317303,34582,425,4814762,4120792
1/24/2021,SC,322093,403646,30128,317,4814762,4120792
1/31/2021,SC,442228,477560,25677,499,4814762,4120792
2/7/2021,SC,549613,563594,19452,591,4814762,4120792
2/14/2021,SC,642401,645654,17273,348,4814762,4120792
2/21/2021,SC,724203,725132,12384,315,4814762,4120792
2/28/2021,SC,808340,894159,10106,220,4814762,4120792
3/7/2021,SC,930939,1109256,7900,186,4814762,4120792
3/14/2021,SC,1111773,1324961,6601,122,4814762,4120792
3/21/2021,SC,1297253,1554533,7118,134,4814762,4120792
3/28/2021,SC,1466122,1880940,6522,124,4814762,4120792
4/4/2021,SC,1625321,2140678,6344,83,4814762,4120792
4/11/2021,SC,1768204,2440300,5674,75,4814762,4120792
4/18/2021,SC,1867357,2708876,6672,57,4814762,4120792
4/25/2021,SC,1937260,2970692,5497,95,4814762,4120792
5/2/2021,SC,2000484,3109657,4697,91,4814762,4120792
5/9/2021,SC,2052253,3158292,4090,74,4814762,4120792
5/16/2021,SC,2111764,3216347,3201,60,4814762,4120792
5/23/2021,SC,2175128,3278417,2446,33,4814762,4120792
5/30/2021,SC,2218512,3343096,2177,50,4814762,4120792
6/6/2021,SC,2250890,3366884,1473,38,4814762,4120792
6/13/2021,SC,2281710,3366884,1311,35,4814762,4120792
6/20/2021,SC,2308922,3371510,1113,21,4814762,4120792
6/27/2021,SC,2335106,3386095,1061,24,4814762,4120792
7/4/2021,SC,2356200,3394841,1373,26,4814762,4120792
7/11/2021,SC,2378162,3433751,1983,15,4814762,4120792
7/18/2021,SC,2403860,3449440,3428,20,4814762,4120792
7/25/2021,SC,2441844,3501325,6629,28,4814762,4120792
8/1/2021,SC,2490502,3596327,11847,35,4814762,4120792
8/8/2021,SC,2549913,3693558,19729,58,4814762,4120792
8/15/2021,SC,2612567,3788095,23496,119,4814762,4120792
8/22/2021,SC,2670573,3987096,28077,188,4814762,4120792
8/29/2021,SC,2730883,4096401,35126,280,4814762,4120792
9/5/2021,SC,2785718,4234147,39032,319,4814762,4120792
9/12/2021,SC,2830351,4311075,33314,376,4814762,4120792
9/19/2021,SC,2872540,4378830,29488,443,4814762,4120792
9/26/2021,SC,2905414,4390823,20621,514,4814762,4120792
10/3/2021,SC,2936993,4442162,16504,481,4814762,4120792
10/10/2021,SC,2962982,4523855,11475,332,4814762,4120792
10/17/2021,SC,2985805,4639926,8546,243,4814762,4120792
